Test unit,R5
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0,0,0
0,0,0
0.01,-0,0.001
0.02,-0,0.001
0.01,-0,0.001
0,-0,0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
0,-0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.02,0,0.001
0.01,0,0.001
0.01,0,0
0,0,0
-0,0.1,-0
-0,0.1,-0
-0,0.1,-0
-0,0,-0
-0,0,-0
-0,0.1,-0
0,0.1,0
0,0.1,0
0,0.1,0
0,0.1,0
0,0.1,0
0,0.1,0
0.01,0.1,0.001
0.02,0.1,0.001
0.01,0.1,0.001
0,0.1,0
-0,0.1,-0
0,0.1,0
-0,0.1,-0
-0,0.1,-0
-0,0.2,-0
-0,0.2,-0
-0,0.2,-0
-0,0.2,-0
0,0.2,0
0,0.2,0
0,0.2,0
0,0.2,0
0,0.2,0
0.01,0.2,0.001
0.02,0.2,0.001
0.01,0.2,0.001
0,0.2,0
-0,0.2,-0
-0,0.2,-0
-0,0.2,-0
-0,0.1,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
0,-0.1,0
-0,-0.1,-0
0,-0.1,0
0,-0.1,0
0,-0.1,0
0.01,-0.1,0
0.02,-0.1,0.001
0.02,-0,0.001
0.01,2,0.001
0.01,3.7,0.001
0.02,6.4,0.002
0.04,9.4,0.003
0.06,12.3,0.004
0.08,13.7,0.005
0.09,14.3,0.006
0.1,14.5,0.007
0.1,14.5,0.007
0.1,14.5,0.007
0.11,14.9,0.007
0.11,15.6,0.008
0.12,16,0.008
0.12,15.9,0.008
0.12,15.9,0.008
0.14,16.6,0.01
0.15,17.7,0.011
0.15,18.2,0.011
0.15,18.7,0.01
0.15,19.1,0.01
0.15,19.3,0.01
0.15,19.5,0.01
0.15,19.9,0.011
0.16,20.2,0.011
0.16,20.6,0.011
0.17,21.2,0.012
0.18,21.5,0.013
0.18,21.7,0.013
0.19,21.9,0.013
0.19,22.1,0.014
0.2,21.8,0.014
0.2,21.8,0.014
0.22,22.4,0.015
0.22,23.4,0.016
0.22,24.2,0.016
0.22,24.6,0.015
0.22,24.6,0.015
0.22,24.3,0.015
0.22,24.1,0.016
0.23,24.3,0.016
0.24,24.8,0.016
0.24,24.8,0.017
0.24,25.3,0.017
0.25,26,0.018
0.26,26.7,0.018
0.27,26.6,0.019
0.27,26.3,0.019
0.27,25.9,0.019
0.28,25.7,0.019
0.29,25.9,0.02
0.29,26.6,0.02
0.29,27.2,0.02
0.29,27.4,0.02
0.29,27.4,0.02
0.29,27.8,0.021
0.3,28.1,0.021
0.3,27.8,0.021
0.3,27.6,0.021
0.31,27.3,0.021
0.31,27.4,0.021
0.32,27.7,0.022
0.32,28.4,0.022
0.33,29,0.023
0.33,28.9,0.023
0.33,28.5,0.023
0.35,28.3,0.024
0.35,28,0.024
0.34,27.9,0.024
0.34,28.3,0.024
0.34,29.1,0.024
0.34,29.3,0.024
0.35,29.7,0.024
0.35,29.9,0.025
0.36,29.9,0.025
0.36,29.3,0.025
0.36,27.8,0.025
0.37,26.7,0.026
0.37,26.4,0.026
0.37,26.8,0.026
0.36,28.4,0.025
0.37,29.8,0.026
0.39,29.9,0.027
0.4,29.4,0.028
0.4,28.4,0.028
0.39,27.4,0.027
0.39,26.7,0.027
0.39,26.1,0.027
0.39,25.9,0.027
0.39,26.1,0.027
0.39,27.1,0.027
0.38,28,0.027
0.39,28.8,0.027
0.39,29.6,0.028
0.4,29.7,0.028
0.4,29.3,0.028
0.4,27.9,0.028
0.41,26,0.028
0.41,24.3,0.029
0.43,22.8,0.03
0.44,21.7,0.031
0.43,21.2,0.03
0.43,20.9,0.03
0.42,20.3,0.03
0.42,19.1,0.029
0.42,18,0.029
0.42,16.9,0.029
0.42,16.7,0.029
0.42,17.1,0.029
0.41,18.3,0.029
0.41,19.5,0.029
0.41,20.6,0.028
0.41,21.3,0.028
0.4,21.7,0.028
0.4,21.6,0.028
0.41,21.1,0.028
0.42,19.8,0.03
0.43,18.5,0.03
0.42,17.5,0.029
0.42,16.9,0.029
0.41,16.2,0.029
0.41,15.4,0.029
0.41,15,0.029
0.41,14.3,0.029
0.41,13.7,0.028
0.41,12.8,0.028
